curriculum_rank,episode_id,stage,stage_position,cluster,difficulty,difficulty_z,coreset_rank,is_cluster_medoid,duration,path_length,net_displacement,tortuosity,log_tortuosity,mean_speed,max_speed,rms_acceleration,rms_jerk,normalized_jerk,log_normalized_jerk,reversal_rate,workspace_span,source,task_name,embodiment,arm_used,missing_frame_ratio
31,yam__pack_items__2026-07-06-18-09-07-081000,1,31,0,0.14705882352941177,-0.9274528742655694,254,False,852.0,4.260838886192848,0.04869367280156487,87.5029267879731,4.483035622517592,0.1502058361760111,0.7052547103328037,1.0664312491990375,43.94257479859949,235819.35971930297,12.370825606527275,0.0405727923627685,0.6614106242279112,yam,yam_pack_items,yam_bimanual,right,0.0
32,yam__pack_items__2026-07-06-18-08-18-646000,1,32,0,0.15073529411764705,-0.9241920867483392,260,False,1060.0,4.333370726047811,0.05810953196933596,74.57245961530896,4.325091926012682,0.12275837750843654,0.5533252079515976,0.9294320536790767,38.9782944137276,396219.0744484212,12.889725079424977,0.0380859375,0.6089416658410114,yam,yam_pack_items,yam_bimanual,right,0.0
33,yam__pack_items__2026-07-06-18-05-11-763000,1,33,0,0.15441176470588236,-0.9216017807291563,245,False,1029.0,4.116984336792058,0.06548346710334481,62.87059190520118,4.156859034873615,0.12014545729937909,0.5701874262258053,0.9362023447634547,40.66733580188582,398029.1326806296,12.894282991653537,0.068,0.6471775997535929,yam,yam_pack_items,yam_bimanual,right,0.0
34,yam__pack_items__2026-07-06-18-36-46-308000,1,34,0,0.15808823529411764,-0.9207823205424457,236,False,1084.0,4.678407039607281,0.07514814831607397,62.25578599661362,4.147186601631083,0.1295957628700078,0.6433513058214986,0.9792303122176013,41.8875771167379,421802.86406338424,12.952295707874809,0.06507177033492823,0.6381025552923612,yam,yam_pack_items,yam_bimanual,right,0.0
35,yam__fold_clothes__2026-07-09-22-14-31-889000,1,35,0,0.16176470588235295,-0.9173257116804845,240,False,1070.0,4.658517879867288,0.06151456358821833,75.7303247902667,4.340296999078657,0.13073483292424568,0.5662621834645712,1.0579977246956458,39.21792915030598,381429.9409428547,12.851685093511554,0.03861003861003861,0.6263704338489315,yam,yam_fold_tshirt,yam_bimanual,left,0.0
36,yam__fold_clothes__2026-07-08-22-18-39-019000,1,36,0,0.16544117647058823,-0.9055399798875617,214,False,1118.0,4.578325569753165,0.0639539082047373,71.5878935044353,4.284798151788145,0.1229630860273903,0.669033891691619,1.0083278605586061,38.67743575403792,436645.6915049669,12.986879660817792,0.034123222748815164,0.749152691170036,yam,yam_fold_tshirt,yam_bimanual,left,0.0
37,yam__pack_items__2026-07-06-17-22-37-589000,1,37,0,0.16911764705882354,-0.9024607488175905,241,False,1148.0,4.687938760858358,0.07108223957376528,65.9509152914839,4.203959743313094,0.12261391702332235,0.5990950712660128,0.9709257551771077,39.57380009021786,472410.48176649597,13.065605668188844,0.05229357798165138,0.6621150509383978,yam,yam_pack_items,yam_bimanual,right,0.0
38,yam__fold_clothes__2026-07-09-22-23-18-188000,1,38,0,0.17279411764705882,-0.9000029019018362,239,False,861.0,3.853820695520892,0.039084711741266064,98.60174282549424,4.601179662685394,0.13443560565770554,0.7347074167827186,1.1572003163720188,43.953377337095475,269146.3566344527,12.503014302779636,0.022538552787663108,0.6702976221424488,yam,yam_fold_tshirt,yam_bimanual,left,0.0
39,yam__fold_clothes__2026-07-09-22-10-28-199000,1,39,0,0.17647058823529413,-0.8994089692940667,224,False,1120.0,4.725792358936209,0.06297954741889045,75.0369374283361,4.331219241011348,0.1266968460840807,0.6562937269910929,1.0574804237853752,38.72231395398962,425789.10551889456,12.961701793780483,0.030470914127423823,0.7398597848178005,yam,yam_fold_tshirt,yam_bimanual,left,0.0
40,yam__pack_items__2026-07-06-18-27-14-950000,1,40,0,0.1801470588235294,-0.8955562840049874,212,False,907.0,4.151981565567099,0.04737714854462844,87.63679734030438,4.484547091257606,0.13748283329692382,0.6091612003710731,0.9737849653526416,40.67061590709888,270248.9413934414,12.5071025186409,0.05074971164936563,0.6002285434438158,yam,yam_pack_items,yam_bimanual,right,0.0
41,yam__fold_clothes__2026-07-09-22-33-08-849000,1,41,0,0.1875,-0.8905820452476211,217,False,933.0,4.561447506746067,0.043278485759011415,105.39757634187295,4.6671827979063085,0.1468277094446159,0.7401828245014012,1.1803147366303073,41.45459661374064,272930.3496639645,12.516975576111747,0.01646542261251372,0.6077711500984371,yam,yam_fold_tshirt,yam_bimanual,left,0.0
42,yam__fold_clothes__2026-07-09-22-22-22-265000,1,42,0,0.19117647058823528,-0.8755497739129509,253,False,914.0,4.652539403508686,0.05049214657365951,92.14382273729277,4.53414477962903,0.15287643165965015,0.7889454082554447,1.471376821975742,60.48612473714098,367051.17143019533,12.813259273418977,0.02328159645232816,0.6741490692766601,yam,yam_fold_tshirt,yam_bimanual,left,0.0
43,yam__fold_clothes__2026-07-08-22-26-15-999000,1,43,0,0.1948529411764706,-0.8729590861521334,252,False,939.0,3.9486034044672196,0.04188578025707099,94.2707377117711,4.556722709068272,0.1262879553667554,0.604302428885455,1.011371088253041,38.70647075488554,300108.4332191015,12.611902464520243,0.032502708559046585,0.694801896289104,yam,yam_fold_tshirt,yam_bimanual,left,0.0
44,yam__pack_items__2026-07-06-17-20-20-203000,1,44,0,0.19852941176470587,-0.8637418301646052,271,False,1100.0,4.81744978463203,0.0599032998007889,80.42044095488353,4.399626358865664,0.1315045437115204,0.5587993816665788,0.986415650881118,40.68307658809108,415736.2117436784,12.937808637096051,0.040149393090569564,0.6936612239519355,yam,yam_pack_items,yam_bimanual,right,0.0
45,yam__fold_clothes__2026-07-08-22-14-35-136000,1,45,0,0.20955882352941177,-0.8583957056662184,268,False,1051.0,5.287988762316318,0.05917190750118417,89.36654209111803,4.5038740892791385,0.15108539320903766,0.7281733171017226,1.140940801685847,43.25328049154334,351198.1303926127,12.769108664636994,0.01532567049808429,0.9107964235841246,yam,yam_fold_tshirt,yam_bimanual,left,0.0
46,yam__fold_clothes__2026-07-08-22-20-29-153000,1,46,0,0.21323529411764705,-0.853745943122971,258,False,904.0,5.0381708697706635,0.04755867190488661,105.93590333738895,4.672229620739207,0.16738109201895895,0.705779714739801,1.2458881174030496,49.52405605026551,268511.58083151997,12.500653047816664,0.01452513966480447,0.8239911753543447,yam,yam_fold_tshirt,yam_bimanual,left,0.0
47,yam__fold_clothes__2026-07-08-22-24-06-405000,1,47,0,0.21691176470588236,-0.8485127029550973,200,False,1100.0,4.833134771285817,0.05890618258514442,82.04800513596153,4.4194188157342325,0.13193270531262463,0.6478071751561494,1.0952361440907372,37.61212903130452,383107.1649237491,12.856072643235704,0.04197761194029851,0.7726207327376846,yam,yam_fold_tshirt,yam_bimanual,left,0.0
48,yam__pack_items__2026-07-06-21-13-03-316000,1,48,0,0.22058823529411764,-0.8481924078767957,261,False,814.0,4.217722389695171,0.03479960539562209,121.20029355924179,4.8056614490197305,0.15563551253487717,0.6177608089034918,1.1790249063768816,47.56196078362139,224848.2100130952,12.323185278797508,0.02360248447204969,0.6352732335655561,yam,yam_pack_items,yam_bimanual,right,0.0
