scope,n_clips_in_scope,target,sort_key,n_steps,n_unique_clips,spearman,frac_nondecreasing,max_jump,max_abs_step,mean_abs_step,n_large_jumps,task_switch_rate,cluster_switch_rate,embodiment_switch_rate,source_switch_rate,mean_consecutive_dtw,max_consecutive_dtw,cluster_coverage,task_coverage,n_clips_to_target,distinct_clusters,frac_consecutive_near_duplicate,mean_pairwise_dtw,distinct_ratio
garments,131,7,random order,3.0,3.0,-0.5,0.5,0.5955882352941176,0.6066176470588235,0.6011029411764706,1.0,1.0,1.0,0.0,1.0,0.947198368550828,0.9874147824367249,0.2,0.2,1.0,1.0,0.0,1.865527862623142,1.0
garments,131,118,composite difficulty,4.0,4.0,1.0,1.0,0.0625,0.0625,0.041666666666666664,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6663043025987427,0.9044303929988131,0.4,0.6,4.0,2.0,0.3333333333333333,1.8140794865469474,1.0
garments,131,118,duration only,4.0,4.0,0.7999999999999999,0.6666666666666666,0.10661764705882353,0.10661764705882353,0.0625,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.670561722344794,0.9172026522369672,0.4,0.6,3.0,2.0,0.3333333333333333,1.8140794865469474,1.0
garments,131,118,path_length only,4.0,4.0,0.19999999999999998,0.3333333333333333,0.125,0.125,0.07720588235294118,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.7243913503187872,1.0,0.4,0.4,2.0,2.0,0.3333333333333333,1.8140794865469474,1.0
garments,131,118,tortuosity only,4.0,4.0,1.0,1.0,0.0625,0.0625,0.041666666666666664,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6663043025987427,0.9044303929988131,0.4,0.6,4.0,2.0,0.3333333333333333,1.8140794865469474,1.0
garments,131,118,random order,4.0,4.0,-1.0,0.0,-0.01838235294117647,0.0625,0.041666666666666664,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6663043025987427,0.9044303929988131,0.2,0.2,1.0,1.0,0.3333333333333333,1.8140794865469474,1.0
garments,131,11,composite difficulty,5.0,5.0,0.9999999999999999,1.0,0.5955882352941176,0.5955882352941176,0.2104779411764706,1.0,0.25,0.25,0.0,0.25,0.6892601086592041,0.906981954664931,0.4,0.4,5.0,2.0,0.0,1.6859615945633017,1.0
garments,131,11,duration only,5.0,5.0,0.8999999999999998,0.75,0.5955882352941176,0.5955882352941176,0.234375,2.0,0.25,0.25,0.0,0.25,0.6784099174966558,0.906981954664931,0.4,0.4,4.0,2.0,0.0,1.6859615945633017,1.0
garments,131,11,path_length only,5.0,5.0,0.8999999999999998,0.75,0.5955882352941176,0.5955882352941176,0.234375,2.0,0.25,0.25,0.0,0.25,0.6784099174966558,0.906981954664931,0.4,0.4,4.0,2.0,0.0,1.6859615945633017,1.0
garments,131,11,tortuosity only,5.0,5.0,0.8999999999999998,0.75,0.5955882352941176,0.5955882352941176,0.2380514705882353,3.0,0.25,0.25,0.0,0.25,0.7580063304651893,0.906981954664931,0.4,0.4,5.0,2.0,0.0,1.6859615945633017,1.0
garments,131,11,random order,5.0,5.0,0.19999999999999998,0.75,0.7463235294117647,0.7463235294117647,0.29595588235294124,1.0,0.25,0.25,0.0,0.25,0.727157323629304,0.9936576043196536,0.4,0.4,3.0,2.0,0.0,1.6859615945633017,1.0
garments,131,55,composite difficulty,4.0,4.0,1.0,1.0,0.5955882352941176,0.5955882352941176,0.25857843137254904,1.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.7590931825033641,0.906981954664931,0.4,0.4,4.0,2.0,0.0,1.7864115859195013,1.0
garments,131,55,duration only,4.0,4.0,1.0,1.0,0.5955882352941176,0.5955882352941176,0.25857843137254904,1.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.7590931825033641,0.906981954664931,0.4,0.4,4.0,2.0,0.0,1.7864115859195013,1.0
garments,131,55,path_length only,4.0,4.0,0.7999999999999999,0.6666666666666666,0.5955882352941176,0.5955882352941176,0.286764705882353,2.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.8262077545301123,0.906981954664931,0.4,0.4,3.0,2.0,0.0,1.7864115859195013,1.0
garments,131,55,tortuosity only,4.0,4.0,0.7999999999999999,0.6666666666666666,0.5955882352941176,0.5955882352941176,0.286764705882353,2.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.8262077545301123,0.906981954664931,0.4,0.4,3.0,2.0,0.0,1.7864115859195013,1.0
garments,131,55,random order,4.0,4.0,0.7999999999999999,0.6666666666666666,0.5955882352941176,0.5955882352941176,0.286764705882353,2.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.8262077545301123,0.906981954664931,0.4,0.4,3.0,2.0,0.0,1.7864115859195013,1.0
garments,131,63,composite difficulty,4.0,4.0,1.0,1.0,0.33088235294117646,0.33088235294117646,0.19730392156862744,2.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.8391580214915816,0.9126342446409311,0.6,0.4,4.0,3.0,0.0,1.948975123234015,1.0
garments,131,63,duration only,4.0,4.0,1.0,1.0,0.33088235294117646,0.33088235294117646,0.19730392156862744,2.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.8391580214915816,0.9126342446409311,0.6,0.4,4.0,3.0,0.0,1.948975123234015,1.0
garments,131,63,path_length only,4.0,4.0,1.0,1.0,0.33088235294117646,0.33088235294117646,0.19730392156862744,2.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.8391580214915816,0.9126342446409311,0.6,0.4,4.0,3.0,0.0,1.948975123234015,1.0
garments,131,63,tortuosity only,4.0,4.0,0.7999999999999999,0.6666666666666666,0.33088235294117646,0.33088235294117646,0.1997549019607843,2.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.8590527104764715,0.9571508823456375,0.6,0.4,3.0,3.0,0.0,1.948975123234015,1.0
garments,131,63,random order,4.0,4.0,-0.7999999999999999,0.3333333333333333,0.007352941176470562,0.33088235294117646,0.1997549019607843,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.8590527104764715,0.9571508823456375,0.2,0.2,2.0,1.0,0.0,1.948975123234015,1.0
garments,131,100,composite difficulty,8.0,8.0,1.0,1.0,0.08088235294117646,0.08088235294117646,0.05409663865546218,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.4513298007654793,0.9044303929988131,0.4,0.6,8.0,2.0,0.7142857142857143,1.3610341984554637,1.0
garments,131,100,duration only,8.0,8.0,0.9047619047619048,0.7142857142857143,0.15808823529411764,0.15808823529411764,0.08560924369747899,1.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.44782610177249316,0.9044303929988131,0.4,0.6,7.0,2.0,0.7142857142857143,1.3610341984554637,1.0
garments,131,100,path_length only,8.0,8.0,0.4523809523809524,0.5714285714285714,0.14338235294117646,0.3602941176470588,0.14233193277310924,0.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.4833249027978285,1.0,0.4,0.4,7.0,2.0,0.7142857142857143,1.3610341984554637,1.0
garments,131,100,tortuosity only,8.0,8.0,1.0,1.0,0.08088235294117646,0.08088235294117646,0.05409663865546218,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.4513298007654793,0.9044303929988131,0.4,0.6,8.0,2.0,0.7142857142857143,1.3610341984554637,1.0
garments,131,100,random order,8.0,8.0,-0.523809523809524,0.5714285714285714,0.19117647058823528,0.2536764705882353,0.13602941176470587,1.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.5949285093835976,1.0,0.2,0.2,1.0,1.0,0.2857142857142857,1.3610341984554637,1.0
garments,131,106,composite difficulty,6.0,6.0,1.0,1.0,0.0625,0.0625,0.04485294117647059,0.0,0.4,0.2,0.2,0.2,0.5126404597909184,0.9044303929988131,0.4,0.6,6.0,2.0,0.6,1.5552086143123267,1.0
garments,131,106,duration only,6.0,6.0,0.6571428571428573,0.8,0.10661764705882353,0.16176470588235295,0.07720588235294118,0.0,0.4,0.2,0.2,0.2,0.55957161086853,0.9172026522369672,0.4,0.6,5.0,2.0,0.4,1.5552086143123267,1.0
garments,131,106,path_length only,6.0,6.0,0.028571428571428574,0.4,0.17279411764705882,0.17279411764705882,0.1051470588235294,1.0,0.4,0.2,0.4,0.4,0.6166666408874165,1.0,0.4,0.4,4.0,2.0,0.2,1.5552086143123267,1.0
garments,131,106,tortuosity only,6.0,6.0,1.0,1.0,0.0625,0.0625,0.04485294117647059,0.0,0.4,0.2,0.2,0.2,0.5126404597909184,0.9044303929988131,0.4,0.6,6.0,2.0,0.6,1.5552086143123267,1.0
garments,131,106,random order,6.0,6.0,0.5428571428571429,0.4,0.17279411764705882,0.17279411764705882,0.1,1.0,0.4,0.4,0.2,0.2,0.6009283336556273,1.0,0.4,0.6,5.0,2.0,0.2,1.5552086143123267,1.0
garments,131,82,composite difficulty,2.0,2.0,0.9999999999999999,1.0,0.01838235294117647,0.01838235294117647,0.01838235294117647,0.0,1.0,1.0,0.0,0.0,0.8257388568398664,0.8257388568398664,0.4,0.4,2.0,2.0,0.0,1.7708649421371225,1.0
garments,131,82,duration only,2.0,2.0,0.9999999999999999,1.0,0.01838235294117647,0.01838235294117647,0.01838235294117647,0.0,1.0,1.0,0.0,0.0,0.8257388568398664,0.8257388568398664,0.4,0.4,2.0,2.0,0.0,1.7708649421371225,1.0
garments,131,82,path_length only,2.0,2.0,0.9999999999999999,1.0,0.01838235294117647,0.01838235294117647,0.01838235294117647,0.0,1.0,1.0,0.0,0.0,0.8257388568398664,0.8257388568398664,0.4,0.4,2.0,2.0,0.0,1.7708649421371225,1.0
garments,131,82,tortuosity only,2.0,2.0,0.9999999999999999,1.0,0.01838235294117647,0.01838235294117647,0.01838235294117647,0.0,1.0,1.0,0.0,0.0,0.8257388568398664,0.8257388568398664,0.4,0.4,2.0,2.0,0.0,1.7708649421371225,1.0
garments,131,82,random order,2.0,2.0,0.9999999999999999,1.0,0.01838235294117647,0.01838235294117647,0.01838235294117647,0.0,1.0,1.0,0.0,0.0,0.8257388568398664,0.8257388568398664,0.4,0.4,2.0,2.0,0.0,1.7708649421371225,1.0
garments,131,45,composite difficulty,5.0,5.0,0.9999999999999999,1.0,0.5955882352941176,0.5955882352941176,0.1957720588235294,1.0,0.25,0.25,0.0,0.25,0.7043009883235121,0.906981954664931,0.4,0.4,5.0,2.0,0.0,1.750850537118587,1.0
garments,131,45,duration only,5.0,5.0,0.8999999999999998,0.75,0.5955882352941176,0.5955882352941176,0.20496323529411764,1.0,0.25,0.25,0.0,0.25,0.7339430819304833,0.906981954664931,0.4,0.4,4.0,2.0,0.0,1.750850537118587,1.0
garments,131,45,path_length only,5.0,5.0,0.7,0.75,0.5955882352941176,0.5955882352941176,0.23253676470588236,2.0,0.25,0.25,0.0,0.25,0.8138438755202083,0.906981954664931,0.4,0.4,3.0,2.0,0.0,1.750850537118587,1.0
garments,131,45,tortuosity only,5.0,5.0,0.7,0.75,0.5955882352941176,0.5955882352941176,0.21875,2.0,0.25,0.25,0.0,0.25,0.7795778211225002,0.906981954664931,0.4,0.4,4.0,2.0,0.0,1.750850537118587,1.0
garments,131,45,random order,5.0,5.0,-0.6,0.5,0.5955882352941176,0.7463235294117647,0.36764705882352944,1.0,0.5,0.5,0.0,0.5,0.8323421914642702,0.9936576043196536,0.2,0.2,2.0,1.0,0.0,1.750850537118587,1.0
garments,131,31,composite difficulty,5.0,5.0,0.9999999999999999,1.0,0.5955882352941176,0.5955882352941176,0.22058823529411764,1.0,0.25,0.25,0.0,0.25,0.7459057922916841,0.906981954664931,0.4,0.4,5.0,2.0,0.0,1.7912734597336022,1.0
garments,131,31,duration only,5.0,5.0,0.9999999999999999,1.0,0.5955882352941176,0.5955882352941176,0.22058823529411764,1.0,0.25,0.25,0.0,0.25,0.7459057922916841,0.906981954664931,0.4,0.4,5.0,2.0,0.0,1.7912734597336022,1.0
garments,131,31,path_length only,5.0,5.0,0.8999999999999998,0.75,0.5955882352941176,0.5955882352941176,0.2545955882352941,2.0,0.25,0.25,0.0,0.25,0.774149913508204,0.906981954664931,0.4,0.4,4.0,2.0,0.0,1.7912734597336022,1.0
garments,131,31,tortuosity only,5.0,5.0,0.7,0.75,0.5955882352941176,0.5955882352941176,0.26838235294117646,2.0,0.25,0.25,0.0,0.25,0.819784652700221,0.906981954664931,0.4,0.4,4.0,2.0,0.0,1.7912734597336022,1.0
garments,131,31,random order,5.0,5.0,-0.49999999999999994,0.25,0.2867647058823529,0.6911764705882353,0.32996323529411764,1.0,0.25,0.25,0.0,0.25,0.8467198755042187,0.9425158227207076,0.2,0.2,3.0,1.0,0.0,1.7912734597336022,1.0
garments,131,65,composite difficulty,3.0,3.0,1.0,1.0,0.33088235294117646,0.33088235294117646,0.2922794117647059,2.0,0.5,1.0,0.0,0.5,0.9050505300159495,0.9126342446409311,0.6,0.4,3.0,3.0,0.0,1.9705575857840012,1.0
garments,131,65,duration only,3.0,3.0,1.0,1.0,0.33088235294117646,0.33088235294117646,0.2922794117647059,2.0,0.5,1.0,0.0,0.5,0.9050505300159495,0.9126342446409311,0.6,0.4,3.0,3.0,0.0,1.9705575857840012,1.0
garments,131,65,path_length only,3.0,3.0,1.0,1.0,0.33088235294117646,0.33088235294117646,0.2922794117647059,2.0,0.5,1.0,0.0,0.5,0.9050505300159495,0.9126342446409311,0.6,0.4,3.0,3.0,0.0,1.9705575857840012,1.0
garments,131,65,tortuosity only,3.0,3.0,1.0,1.0,0.33088235294117646,0.33088235294117646,0.2922794117647059,2.0,0.5,1.0,0.0,0.5,0.9050505300159495,0.9126342446409311,0.6,0.4,3.0,3.0,0.0,1.9705575857840012,1.0
garments,131,65,random order,3.0,3.0,-0.5,0.5,0.33088235294117646,0.5845588235294118,0.45772058823529416,1.0,0.5,1.0,0.0,0.5,0.9295472811683756,0.9464603176958202,0.2,0.2,1.0,1.0,0.0,1.9705575857840012,1.0
garments,131,52,composite difficulty,3.0,3.0,1.0,1.0,0.4264705882352941,0.4264705882352941,0.3786764705882353,2.0,0.5,1.0,0.0,0.5,0.9027360420951365,0.9126342446409311,0.6,0.4,3.0,3.0,0.0,1.9915713887011792,1.0
garments,131,52,duration only,3.0,3.0,1.0,1.0,0.4264705882352941,0.4264705882352941,0.3786764705882353,2.0,0.5,1.0,0.0,0.5,0.9027360420951365,0.9126342446409311,0.6,0.4,3.0,3.0,0.0,1.9915713887011792,1.0
garments,131,52,path_length only,3.0,3.0,1.0,1.0,0.4264705882352941,0.4264705882352941,0.3786764705882353,2.0,0.5,1.0,0.0,0.5,0.9027360420951365,0.9126342446409311,0.6,0.4,3.0,3.0,0.0,1.9915713887011792,1.0
garments,131,52,tortuosity only,3.0,3.0,1.0,1.0,0.4264705882352941,0.4264705882352941,0.3786764705882353,2.0,0.5,1.0,0.0,0.5,0.9027360420951365,0.9126342446409311,0.6,0.4,3.0,3.0,0.0,1.9915713887011792,1.0
garments,131,52,random order,3.0,3.0,0.5,0.5,0.7573529411764706,0.7573529411764706,0.5919117647058824,1.0,1.0,1.0,0.0,1.0,0.9366613957107737,0.9804849518722053,0.4,0.4,2.0,2.0,0.0,1.9915713887011792,1.0
garments,131,94,composite difficulty,9.0,9.0,1.0,1.0,0.08823529411764708,0.08823529411764708,0.05514705882352941,0.0,0.25,0.125,0.125,0.125,0.4282290697231066,0.9044303929988131,0.4,0.6,9.0,2.0,0.75,1.3444453713975735,1.0
garments,131,94,duration only,9.0,9.0,0.9,0.875,0.22426470588235292,0.22426470588235292,0.09558823529411764,1.0,0.25,0.125,0.125,0.125,0.46919199349413265,0.9172026522369672,0.4,0.6,9.0,2.0,0.5,1.3444453713975735,1.0
garments,131,94,path_length only,9.0,9.0,0.41666666666666663,0.625,0.22426470588235292,0.4227941176470588,0.16038602941176472,2.0,0.25,0.125,0.25,0.25,0.5145615029003552,1.0,0.4,0.4,8.0,2.0,0.375,1.3444453713975735,1.0
