episode_id,UMAP_X,UMAP_Y,UMAP_Z,cluster,cluster_label,n_frames,source,task_name,embodiment,arm_used,missing_frame_ratio,task_description,difficulty,difficulty_z,stage,curriculum_rank,coreset_rank,is_cluster_medoid
aria__2025-09-24-03-55-38-000000,0.5752588510513306,5.848811626434326,4.038966178894043,3,Group 3,1616,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.5955882352941176,0.3965831741169579,10,193,167,False
aria__2025-09-24-03-59-06-000000,1.0117409229278564,5.283195972442627,3.576253890991211,3,Group 3,1673,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.5845588235294118,0.3544590310825115,10,191,153,False
aria__2025-09-24-04-02-36-000000,0.9884626269340515,5.594825267791748,3.1894073486328125,3,Group 3,2392,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.6948529411764706,0.5712109972178834,10,207,58,False
aria__2025-09-24-04-07-27-000000,0.4029684066772461,5.473501682281494,4.038113594055176,3,Group 3,1624,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.7316176470588235,0.6188050398325696,10,212,59,False
aria__2025-09-24-04-10-46-000000,1.2408909797668457,5.462620735168457,3.434959650039673,3,Group 3,2056,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.6727941176470589,0.5427205672688693,10,202,71,False
aria__2025-09-24-04-14-10-000000,0.795136570930481,5.769828796386719,3.2877626419067383,3,Group 3,2250,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.7720588235294118,0.7313886569337189,10,221,180,False
aria__2025-09-24-04-35-30-000000,1.0910216569900513,5.157700538635254,3.5732154846191406,3,Group 3,1973,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.8198529411764706,0.8533198431517457,10,231,146,False
aria__2025-09-24-04-38-51-000000,0.6807882785797119,5.880104064941406,3.144728183746338,3,Group 3,2064,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.9264705882352942,1.1294801784355482,10,255,182,False
aria__2025-09-24-04-43-51-000000,-0.8152516484260559,6.352001667022705,4.069610595703125,3,Group 3,1756,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.7683823529411765,0.7229062524502297,10,220,154,False
aria__2025-09-24-04-47-05-000000,1.147698163986206,5.546881198883057,3.2567453384399414,3,Group 3,1381,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.6580882352941176,0.4981032482365596,10,200,70,False
aria__2025-09-24-04-50-31-000000,0.9707743525505066,5.622869968414307,3.319798231124878,3,Group 3,2230,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.7794117647058824,0.7389156654381392,10,223,170,False
aria__2025-09-24-05-09-51-000000,1.089959740638733,5.155634880065918,3.5415256023406982,3,Group 3,1599,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.8970588235294118,1.0402722605729064,10,247,105,False
aria__2025-09-24-05-17-51-000000,1.2704209089279175,5.343088626861572,3.376985549926758,3,Group 3,2097,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.7941176470588235,0.7771063420214578,10,226,163,False
aria__2025-09-24-05-21-13-000000,0.5759561061859131,5.955305099487305,3.302865982055664,3,Group 3,1949,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.9007352941176471,1.0528223663079306,10,248,140,False
aria__2025-09-24-05-25-40-000000,0.7347363829612732,5.722161769866943,3.407186269760132,3,Group 3,2331,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.9080882352941176,1.0685249030168262,10,250,189,False
aria__2025-09-24-05-29-17-000000,0.36340510845184326,5.646628379821777,4.3005051612854,3,Group 3,1943,aria,fold_clothes,human_bimanual,right,unknown,folding clothes,0.6911764705882353,0.5615431374753476,10,206,128,False
mecka__flagship__69199812208123403bbdb24f,6.913923263549805,1.6972991228103638,1.2470499277114868,1,Group 1,3046,mecka,unknown,human_bimanual,right,unknown,,0.5404411764705882,0.204902866284846,6,140,103,False
mecka__flagship__6919981ce505b65c9daf6564,9.250368118286133,0.40898969769477844,0.7842642068862915,0,Group 0,2906,mecka,unknown,human_bimanual,right,0.0441,,0.5183823529411765,0.15993125536989453,1,104,54,False
mecka__flagship__6919982585b31c2eca6b86d4,6.409709930419922,1.6626797914505005,1.7164262533187866,1,Group 1,3237,mecka,unknown,human_bimanual,right,0.0446,,0.5477941176470589,0.23049860631841912,6,141,25,False
mecka__flagship__691999090391c9314f9eda5e,7.495842456817627,1.6931325197219849,2.521806478500366,4,Group 4,3175,mecka,debug,human_bimanual,left,unknown,"The user folds two pieces of patterned fabric, a purple floral cloth and a white patterned cloth, and stacks them.",0.45588235294117646,-0.032743012642285865,8,169,130,False
mecka__flagship__6919990b1830780f59ca1fee,7.434266090393066,1.7968132495880127,2.4089667797088623,3,Group 3,3757,mecka,debug,human_bimanual,right,unknown,Folding various garments including a floral shirt and white trousers on a flat surface and placing them in a stack.,0.7132352941176471,0.5899989170009258,10,209,63,False
mecka__flagship__6919a428b9052da48a361cb9,7.687174320220947,2.036480188369751,1.6725233793258667,1,Group 1,3074,mecka,unknown,human_bimanual,right,0.0418,,0.8125,0.8307735916103289,6,157,34,False
mecka__flagship__6919a477d71e24d18fb977c8,7.936426162719727,2.05383038520813,1.249500036239624,1,Group 1,3492,mecka,unknown,human_bimanual,right,0.0295,,0.9779411764705882,1.5085304570623066,6,160,115,False
mecka__flagship__6919a4d7e7e9255d40a3c54e,8.33881664276123,1.7261919975280762,1.571007490158081,5,Group 5,3140,mecka,unknown,human_bimanual,right,0.0129,,0.5625,0.27956267855686545,5,120,9,False
mecka__flagship__6919a4d963a8657856cb1ac3,7.877273082733154,2.092525005340576,1.162163257598877,1,Group 1,3432,mecka,unknown,human_bimanual,right,0.0219,,0.7867647058823529,0.7463429592922298,6,155,65,False
mecka__flagship__6919a4dd3fe0708a884fa8ea,11.241068840026855,3.677528142929077,3.2880680561065674,0,Group 0,3488,mecka,unknown,human_bimanual,right,0.0091,,0.4375,-0.10178221728508824,1,96,67,False
mecka__flagship__6919a4ddc5f67a370a3f0878,7.205146789550781,1.1565930843353271,1.698960781097412,9,Group 9,2969,mecka,unknown,human_bimanual,right,0.0097,,0.5257352941176471,0.1750208523534966,2,110,42,False
mecka__flagship__6919a534d71e24d18fb977d1,7.888118743896484,1.594645380973816,1.1047024726867676,1,Group 1,3283,mecka,unknown,human_bimanual,right,0.0135,,0.5698529411764706,0.30923256117197134,6,143,55,False
mecka__flagship__6919a67a305cc0c53d1ce466,8.408391952514648,1.1175974607467651,1.604733943939209,0,Group 0,3046,mecka,unknown,human_bimanual,right,0.0139,,0.6286764705882353,0.45826454438930136,1,105,89,False
mecka__flagship__6919a705c21d5a0ed3440b11,7.019090175628662,1.3397166728973389,1.2452229261398315,8,Group 8,3581,mecka,unknown,human_bimanual,right,0.0047,,0.4117647058823529,-0.20700637784871892,3,114,72,False
mecka__flagship__6919a71058534bb69bfa91fd,7.193339824676514,1.3588688373565674,1.223196029663086,8,Group 8,2377,mecka,unknown,human_bimanual,right,0.0088,,0.3639705882352941,-0.49737899426223614,3,113,96,False
mecka__flagship__6919a72233263918bfb8fd8e,8.778212547302246,0.27540257573127747,1.4642707109451294,0,Group 0,3521,mecka,unknown,human_bimanual,right,0.0214,,0.6470588235294118,0.4913397675855636,1,106,98,False
mecka__flagship__6919ab26e2e164a8f6cb5a34,7.841860771179199,1.9291352033615112,2.9827311038970947,3,Group 3,2981,mecka,unknown,human_bimanual,right,0.0057,,0.40441176470588236,-0.28552856825512585,10,187,110,False
mecka__flagship__6919ab39e2e164a8f6cb5a36,9.131551742553711,-0.5367391109466553,1.877685546875,0,Group 0,2675,mecka,unknown,human_bimanual,right,0.0085,,0.38235294117647056,-0.4439823331576777,1,88,90,False
mecka__flagship__6919ab54a950c44cad111324,8.18017864227295,1.7428497076034546,1.8080036640167236,1,Group 1,3226,mecka,unknown,human_bimanual,right,0.0037,,0.7058823529411765,0.5845709725123696,6,152,38,False
mecka__flagship__6919b04323e5ac6d83812186,7.642058372497559,2.1844279766082764,0.8765350580215454,3,Group 3,3814,mecka,unknown,human_bimanual,right,0.0109,,0.6544117647058824,0.4953108115468209,10,199,93,False
mecka__flagship__6919b04fdd03fdca3dfe1406,7.710206508636475,2.200411319732666,1.6486599445343018,3,Group 3,3317,mecka,unknown,human_bimanual,right,0.0175,,0.5808823529411765,0.34821438155101553,10,190,19,False
mecka__flagship__6919b063e4a786d79354fd85,7.101848125457764,2.087871789932251,2.024052143096924,0,Group 0,3116,mecka,unknown,human_bimanual,right,0.0287,,0.45955882352941174,-0.02811385288092767,1,99,104,False
mecka__flagship__6919b070aefd2d0c9b0a39a8,6.70876932144165,1.6343963146209717,2.128866195678711,1,Group 1,3167,mecka,unknown,human_bimanual,right,0.0362,,0.5073529411764706,0.11042479132592045,6,136,136,False
mecka__flagship__6919b3962713b08c1b70f2ea,8.532318115234375,0.08154714852571487,1.4196860790252686,2,Group 2,3421,mecka,unknown,human_bimanual,right,0.0492,,0.6397058823529411,0.4692623539562589,7,164,14,False
mecka__flagship__6919b40e403630aa8cab65a5,6.964211463928223,2.74181866645813,3.7968461513519287,4,Group 4,3435,mecka,unknown,human_bimanual,left,0.0107,,0.46691176470588236,-0.02349377720352725,8,170,7,False
mecka__flagship__6919b419f7961ed77b78a469,6.781126499176025,2.659022092819214,3.782758951187134,4,Group 4,3583,mecka,unknown,human_bimanual,right,0.0042,,0.6838235294117647,0.5486845017799571,8,180,148,False
mecka__flagship__6919b41dbc700d5129d95da9,7.037178039550781,2.5651018619537354,3.6340184211730957,4,Group 4,3550,mecka,unknown,human_bimanual,left,0.0133,,0.5772058823529411,0.34516731911539494,8,176,184,False
mecka__flagship__6919ba8d03f554cfca37261e,7.221778869628906,1.8033767938613892,2.5362002849578857,4,Group 4,3262,mecka,unknown,human_bimanual,left,0.0109,,0.8492647058823529,0.9317836292165492,8,184,126,False
mecka__flagship__6919ba8d63a8657856cb1bb2,7.514547348022461,2.0696680545806885,2.9611902236938477,4,Group 4,3256,mecka,unknown,human_bimanual,left,0.0127,,0.4522058823529412,-0.04919828142187321,8,168,77,False
mecka__flagship__6919ba92b9c9a8705ad32a1d,6.624180793762207,1.5831061601638794,2.1707096099853516,1,Group 1,3241,mecka,unknown,human_bimanual,right,0.0173,,0.7977941176470589,0.784801441808523,6,156,62,False
mecka__flagship__6919ba93184bf01d5885f03e,7.677268981933594,1.938878059387207,2.9070634841918945,4,Group 4,3282,mecka,unknown,human_bimanual,left,0.0052,,0.7095588235294118,0.5890801300253725,8,181,151,False
mecka__flagship__6919ba98a1e6f8651843555e,7.126824855804443,1.7005743980407715,2.66847562789917,6,Group 6,3266,mecka,unknown,human_bimanual,right,0.0097,,0.47794117647058826,0.02839931120545152,4,117,16,True
mecka__flagship__6919bb1f23e5ac6d83812215,8.214045524597168,1.8970922231674194,2.9871857166290283,0,Group 0,1460,mecka,unknown,human_bimanual,right,0.1742,,0.2647058823529412,-0.7535855840606591,1,60,6,False
mecka__flagship__6919bc10a630567cbcec88c2,7.863080024719238,1.5310510396957397,2.183917760848999,4,Group 4,3028,mecka,unknown,human_bimanual,right,0.0381,,0.6654411764705882,0.5062082914350575,8,179,139,False
mecka__flagship__6919be0594bc79c44285c8bc,7.4109110832214355,1.2955337762832642,1.1959110498428345,1,Group 1,2783,mecka,unknown,human_bimanual,right,0.1468,,0.5147058823529411,0.14045011029604215,6,138,171,False
mecka__flagship__6919be26b9052da48a361df1,7.588381290435791,1.7285816669464111,2.5415279865264893,4,Group 4,3243,mecka,unknown,human_bimanual,right,0.0131,,0.47058823529411764,-0.005716258758975895,8,171,52,False
mecka__flagship__6919be3494bc79c44285c8c2,8.123390197753906,1.5678476095199585,2.781892776489258,6,Group 6,1563,mecka,unknown,human_bimanual,right,0.0784,,0.26838235294117646,-0.742699068236384,4,116,36,False
mecka__flagship__6919c30ce7e9255d40a3c6a3,7.5755486488342285,2.0589170455932617,2.1939752101898193,0,Group 0,2629,mecka,unknown,human_bimanual,right,0.0769,,0.44485294117647056,-0.09609548125292233,1,98,111,False
mecka__flagship__6919c30f919b0f252a0a4ec9,8.86290454864502,-0.39886242151260376,1.9384875297546387,1,Group 1,3586,mecka,unknown,human_bimanual,right,unknown,,0.6985294117647058,0.5768215843284771,6,151,21,False
mecka__flagship__6919c34819dfc7da00b1e40e,7.3946733474731445,2.1899211406707764,2.159630060195923,0,Group 0,2778,mecka,unknown,human_bimanual,left,0.0486,,0.4963235294117647,0.09164369901134195,1,102,8,False
mecka__flagship__6919c34bb9052da48a361e59,6.772955894470215,1.8889693021774292,2.0377063751220703,1,Group 1,3474,mecka,unknown,human_bimanual,right,0.0345,,0.48161764705882354,0.03474669609936013,6,133,84,False
mecka__flagship__6919c34be4a786d79354fe8c,8.069730758666992,2.095529079437256,0.6637209057807922,0,Group 0,2792,mecka,unknown,human_bimanual,right,0.1264,,0.4632352941176471,-0.02765120518294428,1,100,23,False
mecka__flagship__6919c34e919b0f252a0a4ecf,6.701288223266602,1.848926305770874,1.9894274473190308,1,Group 1,3476,mecka,unknown,human_bimanual,right,0.0339,,0.5882352941176471,0.36591735086028254,6,144,29,False
mecka__flagship__6919c37719dfc7da00b1e412,7.477771282196045,2.2455129623413086,2.0934536457061768,2,Group 2,2414,mecka,unknown,human_bimanual,left,0.0614,,0.43014705882352944,-0.14540428496853594,7,162,69,False
mecka__flagship__6919c378bc700d5129d95e6a,6.379034042358398,1.608201503753662,1.8867576122283936,1,Group 1,3203,mecka,unknown,human_bimanual,right,0.1098,,0.6433823529411765,0.47134548182381086,6,149,87,False
mecka__flagship__6919c37b184bf01d5885f09a,8.457895278930664,2.306912422180176,2.143807888031006,0,Group 0,3204,mecka,unknown,human_bimanual,right,0.0285,,0.5,0.09616017887248132,1,103,82,False
mecka__flagship__6919c5d158534bb69bfa9312,8.021728515625,1.320855975151062,0.9924917221069336,1,Group 1,2824,mecka,unknown,human_bimanual,right,0.0188,,0.5294117647058824,0.18242801249805557,6,139,22,False
mecka__flagship__6919c7d4184bf01d5885f0d0,6.907545566558838,2.432016134262085,3.563642978668213,4,Group 4,2754,mecka,unknown,human_bimanual,right,0.0164,,0.4338235294117647,-0.11226711274905456,8,166,86,False
mecka__flagship__6919cae26c4a65fef152e853,8.295108795166016,0.5700823068618774,1.3835557699203491,9,Group 9,3412,mecka,unknown,human_bimanual,right,0.0517,,0.5441176470588235,0.22239263350685043,2,111,117,False
mecka__flagship__6919cbb2cbf468ce65a02d95,6.827330112457275,2.574439287185669,3.633530378341675,4,Group 4,3396,mecka,unknown,human_bimanual,right,0.0151,,0.6507352941176471,0.49299747960649754,8,178,165,False
mecka__flagship__6919cc33a6a3fc2efb40b7ab,7.2110514640808105,1.9196697473526,1.1816177368164062,1,Group 1,3235,mecka,unknown,human_bimanual,left,0.0279,,0.8713235294117647,0.9876950040135386,6,158,122,False
mecka__flagship__6919cc39bc700d5129d95ef4,7.272661209106445,2.066579580307007,0.9025591611862183,1,Group 1,3023,mecka,unknown,human_bimanual,left,0.0153,,0.625,0.4544178966365476,6,147,33,False
mecka__flagship__6919cdf433263918bfb8feac,7.452101230621338,2.2862765789031982,3.417259454727173,4,Group 4,2857,mecka,unknown,human_bimanual,right,0.062,,0.8382352941176471,0.8993948341553984,8,183,18,False
