scope,n_clips_in_scope,target,ordering,n_steps,n_unique_clips,spearman,frac_nondecreasing,max_jump,max_abs_step,mean_abs_step,n_large_jumps,task_switch_rate,cluster_switch_rate,embodiment_switch_rate,source_switch_rate,mean_consecutive_dtw,max_consecutive_dtw,spearman_with_reviews,frac_nondecreasing_with_reviews,task_switch_rate_with_reviews,cluster_switch_rate_with_reviews,cluster_coverage,task_coverage,n_clips_to_target,distinct_clusters,frac_consecutive_near_duplicate,mean_pairwise_dtw,distinct_ratio
garments,131,91,Random order (same clips),8.0,8.0,-0.11190476190476188,0.45714285714285713,0.2933823529411764,0.3382352941176471,0.18665966386554622,2.2,0.4714285714285714,0.21428571428571425,0.4714285714285714,0.4714285714285714,0.6471190431157311,1.0,,,,,0.28,0.30000000000000004,3.5,1.4,0.21428571428571427,1.3980542030781393,1.0
garments,131,91,Random subset (same size),8.0,8.0,-0.1690476190476191,0.5285714285714285,0.6411764705882353,0.7330882352941177,0.3559873949579832,2.6,0.5428571428571429,0.5,0.41428571428571426,0.5428571428571429,0.8179686918647618,0.9772731265300599,,,,,0.42000000000000004,0.48,5.5,2.1,0.11428571428571428,1.8053835206190427,1.0
garments,131,91,Difficulty-sorted (same clips),8.0,8.0,1.0,1.0,0.08823529411764708,0.08823529411764708,0.05357142857142857,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.45424369534958503,0.9044303929988131,,,,,0.4,0.6,8.0,2.0,0.7142857142857143,1.3980542030781393,1.0
garments,131,91,Coreset prefix (same size),8.0,8.0,-0.09523809523809526,0.42857142857142855,0.9632352941176471,0.9632352941176471,0.7846638655462185,3.0,1.0,1.0,0.14285714285714285,1.0,0.9798830499505014,1.0,,,,,1.0,1.0,8.0,5.0,0.0,2.0707783037998317,1.0
garments,131,10,Curriculum path,6.0,5.0,0.9999999999999999,1.0,0.5955882352941176,0.5955882352941176,0.21691176470588236,1.0,0.25,0.25,0.0,0.25,0.7163455423097105,0.906981954664931,0.550782483869826,0.8,0.6,0.6,0.4,0.4,6.0,2.0,0.0,1.7196981922967756,0.8333333333333334
garments,131,10,Random order (same clips),5.0,5.0,0.1,0.525,0.6330882352941176,0.7591911764705882,0.3791360294117647,1.5,0.425,0.425,0.0,0.425,0.8078528141480614,0.9612576133049234,,,,,0.32,0.32,3.0,1.6,0.0,1.7196981922967756,1.0
garments,131,10,Random subset (same size),5.0,5.0,-0.06999999999999998,0.5,0.5125,0.6389705882352942,0.37058823529411766,1.2,0.525,0.475,0.4,0.525,0.8869057900287821,0.9612956933012715,,,,,0.32000000000000006,0.34,3.1,1.6,0.0,1.891254426466417,1.0
garments,131,10,Difficulty-sorted (same clips),5.0,5.0,0.9999999999999999,1.0,0.5955882352941176,0.5955882352941176,0.21691176470588236,1.0,0.25,0.25,0.0,0.25,0.7163455423097105,0.906981954664931,,,,,0.4,0.4,5.0,2.0,0.0,1.7196981922967756,1.0
garments,131,10,Coreset prefix (same size),5.0,5.0,0.09999999999999999,0.5,0.8676470588235294,0.8860294117647058,0.6755514705882353,2.0,1.0,1.0,0.25,1.0,0.9684036469613908,1.0,,,,,0.8,0.8,5.0,4.0,0.0,2.091316744144682,1.0
garments,131,1,Curriculum path,4.0,4.0,1.0,1.0,0.5955882352941176,0.5955882352941176,0.2536764705882353,1.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.7425062003978086,0.906981954664931,,,,,0.4,0.4,4.0,2.0,0.0,1.7585294173394643,1.0
garments,131,1,Random order (same clips),4.0,4.0,0.019999999999999962,0.5,0.6003676470588235,0.7095588235294117,0.3939950980392156,0.9,0.5333333333333333,0.5333333333333333,0.0,0.5333333333333333,0.8216562846192896,0.9397441612394253,,,,,0.32,0.32,2.5,1.6,0.0,1.7585294173394643,1.0
garments,131,1,Random subset (same size),4.0,4.0,-0.020000000000000007,0.4666666666666667,0.4816176470588235,0.5812499999999999,0.34068627450980393,1.3,0.6,0.5,0.4333333333333333,0.6,0.8648540303887922,0.9690495083458911,,,,,0.32,0.4,2.8,1.6,0.06666666666666667,1.9011672740976668,1.0
garments,131,1,Difficulty-sorted (same clips),4.0,4.0,1.0,1.0,0.5955882352941176,0.5955882352941176,0.2536764705882353,1.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.7425062003978086,0.906981954664931,,,,,0.4,0.4,4.0,2.0,0.0,1.7585294173394643,1.0
garments,131,1,Coreset prefix (same size),4.0,4.0,-0.39999999999999997,0.3333333333333333,0.8051470588235294,0.8860294117647058,0.6115196078431372,1.0,1.0,1.0,0.3333333333333333,1.0,0.9701283671013191,1.0,,,,,0.8,0.8,4.0,4.0,0.0,2.143588081160432,1.0
garments,131,107,Curriculum path,7.0,6.0,0.942857142857143,0.8,0.0625,0.0625,0.02720588235294118,0.0,0.4,0.2,0.2,0.2,0.5562167568791838,0.9044303929988131,0.6847124716486249,0.6666666666666666,0.6666666666666666,0.5,0.4,0.6,7.0,2.0,0.16666666666666666,1.5948652241067582,0.8571428571428571
garments,131,107,Random order (same clips),6.0,6.0,-0.13142857142857142,0.4400000000000001,0.10367647058823529,0.12683823529411764,0.060588235294117644,0.0,0.52,0.34,0.4,0.4,0.6607626382497054,0.9960814598864207,,,,,0.2800000000000001,0.36,3.0,1.4,0.14,1.5948652241067582,1.0
garments,131,107,Random subset (same size),6.0,6.0,0.14285714285714285,0.4800000000000001,0.7375,0.7698529411764705,0.4563970588235294,2.1,0.74,0.6399999999999999,0.5599999999999999,0.72,0.8729230626008159,0.9857644556388658,,,,,0.34,0.4,3.3,1.7,0.06000000000000001,1.8049102244636486,1.0
garments,131,107,Difficulty-sorted (same clips),6.0,6.0,1.0,1.0,0.0625,0.0625,0.026470588235294117,0.0,0.4,0.2,0.2,0.2,0.5562652575246869,0.9044303929988131,,,,,0.4,0.6,5.0,2.0,0.2,1.5948652241067582,1.0
